# Generated by scripts/build-icon-map.ts — do not edit.
# kind	match	key	source	variant	licence	brand_hex	dark_ink
host	analytics.google.com	googleanalytics	gilbarbara	color	CC0-1.0		
host	aws.amazon.com	aws	gilbarbara	color	CC0-1.0		
host	business.facebook.com	meta	gilbarbara	color	CC0-1.0		
host	calendar.google.com	googlecalendar	gilbarbara	color	CC0-1.0		
host	cloud.google.com	googlecloud	gilbarbara	color	CC0-1.0		
host	console.aws.amazon.com	aws	gilbarbara	color	CC0-1.0		
host	console.cloud.google.com	googlecloud	gilbarbara	color	CC0-1.0		
host	developer.apple.com	apple	gilbarbara	color	CC0-1.0		1
host	developers.facebook.com	meta	gilbarbara	color	CC0-1.0		
host	docs.google.com	googledocs	thesvg	color	CC0-1.0	#4285F4	
host	drive.google.com	googledrive	gilbarbara	color	CC0-1.0		
host	icloud.com	icloud	thesvg	color	CC0-1.0	#3693F3	
host	mail.google.com	gmail	thesvg	color	CC0-1.0	#EA4335	
host	meet.google.com	googlemeet	gilbarbara	color	CC0-1.0		
host	music.apple.com	applemusic	thesvg	color	CC0-1.0	#FA243C	
host	onedrive.live.com	microsoftonedrive	gilbarbara	color	CC0-1.0		
host	outlook.live.com	microsoftoutlook	thesvg	color	MIT	#000000	
host	outlook.office.com	microsoftoutlook	thesvg	color	MIT	#000000	
host	photos.google.com	googlephotos	gilbarbara	color	CC0-1.0		
host	play.google.com	googleplay	gilbarbara	color	CC0-1.0		
host	portal.azure.com	microsoftazure	gilbarbara	color	CC0-1.0		
host	signin.aws.amazon.com	aws	gilbarbara	color	CC0-1.0		
host	teams.microsoft.com	microsoftteams	gilbarbara	color	CC0-1.0		
domain	1001tracklists.com	1001tracklists	thesvg	color	CC0-1.0	#40AEF0	
domain	100tb.com	100tb	gilbarbara	color	CC0-1.0		
domain	11ty.dev	eleventy	gilbarbara	color	CC0-1.0		1
domain	11x.ai	11x	thesvg	color	MIT	#fff	1
domain	163.com	neteasecloudmusic	thesvg	color	CC0-1.0	#D43C33	
domain	1panel.cn	1panel	thesvg	color	CC0-1.0	#0854C1	1
domain	1password.com	1password	thesvg	color+theme	CC0-1.0	#3B66BC	
domain	2dimensions.com	flare	thesvg	color	brand-use	#FF6B6B	
domain	2fas.com	2fas	thesvg	color	CC0-1.0	#EC1C24	
domain	2k.com	2k	thesvg	color	CC0-1.0	#DD0700	
domain	302.ai	302dotai	thesvg	color	MIT	#8E47FF	
domain	360.com	ai360360	thesvg	color	MIT	#006ffb	1
domain	365datascience.com	365datascience	thesvg	color	CC0-1.0	#000C1F	1
domain	3ds.com	dassaultsystemes	thesvg	color	CC0-1.0	#005386	1
domain	3m.com	3m	thesvg	color	CC0-1.0	#FF0000	
domain	42network.org	42	thesvg	color	CC0-1.0	#000000	1
domain	47ng.com	nuqs	thesvg	color+theme	MIT	#000000	
domain	4chan.org	4chan	thesvg	color	CC0-1.0	#006600	1
domain	4d.com	4d	thesvg	color	CC0-1.0	#004088	1
domain	500px.com	500px	gilbarbara	color	CC0-1.0		1
domain	5dive.ai	5dive	thesvg	color	CC0-1.0	#1A1A1F	
domain	8card.net	eight	thesvg	color	CC0-1.0	#0054FF	
domain	99designs.com	99designs	thesvg	color	CC0-1.0	#FE5F50	
domain	aa.com	americanairlines	thesvg	color	CC0-1.0	#0078D2	
domain	abacatepay.com	abacatepay	thesvg	color	MIT	#000000	
domain	abarth.com	abarth	thesvg	color	CC0-1.0	#D7282F	
domain	abbvie.com	abbvie	thesvg	color	CC0-1.0	#071D49	1
domain	abdownloadmanager.com	abdownloadmanager	thesvg	color	Apache-2.0	#897BFF	
domain	about.google	googleforms	thesvg	color	CC0-1.0	#7248B9	1
domain	about.me	aboutdotme	thesvg	color	CC0-1.0	#333333	1
domain	abstract.com	abstract	thesvg	color	CC0-1.0	#191A1B	1
domain	abuse.ch	abusedotch	thesvg	color	CC0-1.0	#00465B	1
domain	academia.edu	academia	thesvg	color	CC0-1.0	#41454A	1
domain	accenture.com	accenture	thesvg	color	CC0-1.0	#A100FF	
domain	accountantos.com.au	accountantos	thesvg	color	Used with permission of AccountantOS; unmodified redistribution authorized for brand identification and development use.	#09090B	1
domain	accusoft.com	accusoft	thesvg	color	CC0-1.0	#A9225C	1
domain	accuweather.com	accuweather	thesvg	color	CC0-1.0	#FF6600	
domain	acer.com	acer	thesvg	color	CC0-1.0	#83B81A	
domain	acm.org	acm	thesvg	color	CC0-1.0	#0085CA	
domain	activecampaign.com	activecampaign	gilbarbara	color	CC0-1.0		
domain	activeloop.ai	activeloop	thesvg	color	CC0-1.0	#FFB746	
domain	activision.com	activision	thesvg	color	CC0-1.0	#000000	1
domain	activitypub.rocks	activitypub	thesvg	color	CC0-1.0	#F1007E	
domain	actransit.org	sanfranciscomunicipalrailway	thesvg	color	CC0-1.0	#BA0C2F	1
domain	acura.com	acura	thesvg	color	CC0-1.0	#000000	1
domain	ada-lang-io.github.io	ada	thesvg	color	CC0-1.0	#000000	1
domain	adafruit.com	adafruit	thesvg	color	CC0-1.0	#000000	1
domain	adblockplus.org	adblockplus	thesvg	color	CC0-1.0	#C70D2C	
domain	addy.io	addydotio	thesvg	color	CC0-1.0	#19216C	1
domain	adewes.github.io	gitboard	gilbarbara	color	CC0-1.0		
domain	adguard.com	adguard	thesvg	color	CC0-1.0	#68BC71	
domain	adidas.com	adidas	thesvg	color	CC0-1.0	#000000	1
domain	adminer.org	adminer	thesvg	color	CC0-1.0	#34567C	1
domain	adnocls.ae	adnoc	thesvg	color	CC0-1.0	#0047BA	1
domain	adobe.com	adobe	gilbarbara	color	CC0-1.0		
domain	adonisjs.com	adonisjs	gilbarbara	color	CC0-1.0		
domain	adp.com	adp	thesvg	color	CC0-1.0	#D0271D	
domain	adroll.com	adroll	gilbarbara	color	CC0-1.0		
domain	adventofcode.com	adventofcode	thesvg	color	CC0-1.0	#FFFF66	
domain	adyen.com	adyen	gilbarbara	color	CC0-1.0		
domain	aero.ai	aero	thesvg	color	Fair Use	#5856D6	
domain	aeroflot.ru	aeroflot	thesvg	color	CC0-1.0	#02458D	1
domain	aerogear.org	aerogear	gilbarbara	color	CC0-1.0		
domain	aeromexico.com	aeromexico	thesvg	color	CC0-1.0	#0B2343	1
domain	aerospike.com	aerospike	gilbarbara	color	CC0-1.0		
domain	afdian.com	afdian	thesvg	color	CC0-1.0	#946CE6	
domain	affine.pro	affine	thesvg	color	CC0-1.0	#1E96EB	
domain	affinity.studio	affinity	thesvg	color	Trademark of Canva (Serif Europe). Used for identification under nominative fair use.	#A7F175	
domain	affirm.com	affirm	thesvg	color+theme	Fair Use	#4A4AF4	
domain	aframe.io	aframe	thesvg	color	CC0-1.0	#EF2D5E	
domain	afterpay.com	afterpay	thesvg	color	CC0-1.0	#B2FCE4	
domain	aftership.com	aftership	thesvg	color	CC0-1.0	#FF6B2B	
domain	ag-ui.com	agui	thesvg	color	MIT	#fff	1
domain	ah.nl	albertheijn	thesvg	color	CC0-1.0	#04ACE6	
domain	aha.io	aha	gilbarbara	color	CC0-1.0		
domain	ahooks.js.org	ahooks	thesvg	color	MIT	#000000	
domain	ahrefs.com	ahrefs	thesvg	color	MIT	#000000	
domain	aib.ie	aib	thesvg	color	CC0-1.0	#7F2B7B	1
domain	aihubmix.com	aihubmix	thesvg	color	MIT	#006FFB	
domain	airasia.com	airasia	thesvg	color	CC0-1.0	#FF0000	
domain	airbnb.com	airbnb	gilbarbara	color	CC0-1.0		
domain	airbnb.io	visx	thesvg	color	CC0-1.0	#FF1231	
domain	airbrake.io	airbrake	gilbarbara	color	CC0-1.0		
domain	airbus.com	airbus	thesvg	color	CC0-1.0	#00205B	1
domain	airbyte.com	airbyte	thesvg	color	CC0-1.0	#615EFF	
domain	aircall.io	aircall	thesvg	color	CC0-1.0	#00B388	
domain	aircanada.com	aircanada	thesvg	color	CC0-1.0	#F01428	
domain	airchina.com.cn	airchina	thesvg	color	CC0-1.0	#E30E17	
domain	airfrance.fr	airfrance	thesvg	color	CC0-1.0	#002157	1
domain	airindia.com	airindia	thesvg	color	CC0-1.0	#DA0E29	
domain	airserbia.com	airserbia	thesvg	color	CC0-1.0	#0E203F	1
domain	airtable.com	airtable	gilbarbara	color	CC0-1.0		
domain	airtel.in	airtel	thesvg	color	CC0-1.0	#E40000	
domain	airtransat.com	airtransat	thesvg	color	CC0-1.0	#172B54	1
domain	aizome.ai	aizome	thesvg	color	CC0-1.0	#04044A	1
domain	akamai.com	akamai	gilbarbara	color	CC0-1.0		
domain	akasaair.com	akasaair	thesvg	color	CC0-1.0	#FF6300	
domain	akash.network	akashchat	thesvg	color	MIT	#000	1
domain	akaunting.com	akaunting	thesvg	color	GPL-3.0-only	#6DA252	
domain	akiflow.com	akiflow	thesvg	color	CC0-1.0	#AF38F9	
domain	akka.io	akka	gilbarbara	color	CC0-1.0		
domain	akuity.io	akuity	thesvg	color	brand-use	#F05032	1
domain	alacritty.org	alacritty	thesvg	color	Apache-2.0	#F46D01	
domain	alamy.com	alamy	thesvg	color	CC0-1.0	#00FF7B	
domain	alaskaair.com	alaskaairlines	thesvg	color	Fair Use	#00205B	1
domain	alchemy.com	alchemy	thesvg	color	CC0-1.0	#0C0C0E	1
domain	aldi-sued.de	aldisud	thesvg	color	CC0-1.0	#00005F	1
domain	alemtv.tm	alemtv	thesvg	color	CC0-1.0	#199F45	
domain	aleph-alpha.com	alephalpha	thesvg	color	MIT	#fff	1
domain	alfredapp.com	alfred	thesvg	color	CC0-1.0	#5C1F87	1
domain	alfresco.com	alfresco	gilbarbara	color	CC0-1.0		
domain	algolia.com	algolia	gilbarbara	color	CC0-1.0		
domain	algorand.org	algorand	thesvg	color	CC0-1.0	#000000	
domain	alibaba.com	alibaba	thesvg	color	MIT	#FF6003	
domain	aliexpress.com	aliexpress	thesvg	color	CC0-1.0	#FF4747	
domain	alipay.com	alipay	thesvg	color	CC0-1.0	#1677FF	
domain	alistgo.com	alist	thesvg	color	CC0-1.0	#70C6BE	
domain	alivecor.com	alivecor	thesvg	color	CC0-1.0	#174E8C	1
domain	aliyun.com	bailian	thesvg	color	MIT	#615ced	
domain	aljazeera.com	aljazeera	thesvg	color	CC0-1.0	#FAA61A	
domain	allegro.pl	allegro	thesvg	color	CC0-1.0	#FF5A00	
domain	allenai.org	ai2	thesvg	color	MIT	#f0529c	
